prueba,z,peso_entrada,peso_salida_numpy,peso_salida_milp,coincide,estado_solver,tiempo_segundos
1,4,52,48,48,True,Optimal,0.1752769000013359
2,4,45,45,45,True,Optimal,0.1792695999611169
3,4,44,52,52,True,Optimal,0.17612870002631098
4,4,50,52,52,True,Optimal,0.1721848999732174
5,4,53,59,59,True,Optimal,0.1747915000305511
6,4,58,42,42,True,Optimal,0.1779804999823682
7,4,47,39,39,True,Optimal,0.17485309997573495
8,4,49,53,53,True,Optimal,0.17619270004797727
9,4,55,47,47,True,Optimal,0.1745431000017561
10,4,52,50,50,True,Optimal,0.2080063999746926
1,8,107,111,111,True,Optimal,0.19199269998352975
2,8,110,106,106,True,Optimal,0.20564989995909855
3,8,102,112,112,True,Optimal,0.1951437999960035
4,8,96,110,110,True,Optimal,0.19270010001491755
5,8,107,99,99,True,Optimal,0.1984332000138238
